conc cause
 0.0 ED
 0.0 ED
 0.0 ED
 0.0 ED
 0.1 ED
 0.1 ED
 0.1 ED
 0.1 ED
 0.2 ED
 0.2 ED
 0.2 ED
 0.3 ED
 0.3 ED
 0.3 ED
 0.4 ED
 0.5 ED
 0.7 ED
 0.8 ED
 1.0 ED
 1.5 ED
 2.7 ED
 2.8 ED
 3.5 ED
 4.0 ED
 8.9 ED
 9.2 ED
11.7 ED
21.0 ED
 0.0 non-ED
 0.0 non-ED
 0.0 non-ED
 0.0 non-ED
 0.0 non-ED
 0.1 non-ED
 0.1 non-ED
 0.1 non-ED
 0.1 non-ED
 0.2 non-ED
 0.2 non-ED
 0.2 non-ED
 0.3 non-ED
 0.3 non-ED
 0.3 non-ED
 0.4 non-ED
 0.5 non-ED
 0.5 non-ED
 0.6 non-ED
 0.8 non-ED
 0.9 non-ED
 1.0 non-ED
 1.2 non-ED
 1.4 non-ED
 1.5 non-ED
 1.7 non-ED
 2.0 non-ED
 3.2 non-ED
 3.5 non-ED
 4.1 non-ED
 4.3 non-ED
 4.8 non-ED
 5.0 non-ED
 5.6 non-ED
 5.9 non-ED
 6.0 non-ED
 6.4 non-ED
 7.9 non-ED
 8.3 non-ED
 8.7 non-ED
 9.1 non-ED
 9.6 non-ED
 9.9 non-ED
11.0 non-ED
11.5 non-ED
 6.0 non-ED
 1.5 non-ED
14.0 non-ED
 2.7 non-ED
 2.0 non-ED
